partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA011093,MARES_2060885,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,8dd952753c7d35af289a3309e610894a90110f0e7a1323d2ed10ceb72990e056
BA021187,THE_TESALIA_30001,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,cc51707ef7a8ddda795cb7dc40477dbee6830f0b91f17e914dda0f9b27ec0369
AA201077,MARES_2060885,PAL,0.00909090909090909,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,bce571599565688ae4c6781c93e1f146fb710fe5778440b23eacd07194fb79ec
BA012896,THE_TESALIA_30001,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,5fc2cb8a49df923125361117aa846b30323ba68489043cb9a6fc62f0f6f131ee
BA018230,IBERIA_FOODS_NY_66317,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,02cd01ef341261d6a279435411257964fee70e234acecbeb9ebb04c6f07616bc
BA020721,THE_TESALIA_30001,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,863498edc0aa264fce6bbef1af0e1c91323e74fb2507c02e20de76e92cc6373e
BA023305,EMBOTELLADORA_LA_MARIPOSA_66328,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,4bda7f2777ebab7953c1290dcc5bf9f48132b482b88cc170a6b7b2ee34d85c84
BA019638,PEPSICOLA_PUERTO_RICO_66336,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,9e5bfbd4d14917ed394cb2002f548c63018f0f9ff7668488bdefa223551b1168
BA022627,CORRIPIO_66274,PAL,0.008928571428571428,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,afde425419d779732fb196b5ad7887ba0a2fe3c34fb950b96719ec4b4953ff75
BA022674,EMBOTELLADORA_LA_MARIPOSA_66328,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,4ccafdab485138e72c94d9ce79d93327c512eed58555bf494326a2982965b9f5
