batch_id,batch_name,triggered_by,start_time,end_time,status,total_files,successful_files,failed_files,inserted_at,last_updated_at,comments,skip_files
BATCH_20260108_102014_b1902e,Daily Ingestion - Synexis,Azure Function,2026-01-08T10:20:14.171Z,2026-01-08T10:21:04.261Z,success,10,10,0,2026-01-08T10:20:14.171Z,2026-01-08T10:21:04.261Z,null,0
BATCH_20260108_020034_fe2594,Daily Ingestion - Synexis,Azure Function,2026-01-08T02:00:34.190Z,null,Running,10,8,0,2026-01-08T02:00:34.190Z,2026-01-08T02:02:17.677Z,null,0
BATCH_20260108_020032_d8a303,Daily Ingestion - Synexis,Azure Function,2026-01-08T02:00:32.476Z,null,Running,10,8,0,2026-01-08T02:00:32.476Z,2026-01-08T02:01:58.625Z,null,0
BATCH_20260107_045741_a202f5,Daily Ingestion - Synexis,Azure Function,2026-01-07T04:57:41.800Z,null,Running,10,8,0,2026-01-07T04:57:41.800Z,2026-01-07T04:58:54.583Z,null,0
BATCH_20260107_020026_178b1a,Daily Ingestion - Synexis,Azure Function,2026-01-07T02:00:26.062Z,null,Running,10,8,0,2026-01-07T02:00:26.062Z,2026-01-07T02:01:39.281Z,null,0
BATCH_20260107_020020_8301b9,Daily Ingestion - Synexis,Azure Function,2026-01-07T02:00:20.628Z,null,Running,10,-1,-1,2026-01-07T02:00:20.628Z,2026-01-07T02:01:26.566Z,null,1
BATCH_20260107_010615_62f871,Daily Ingestion - Synexis,Azure Function,2026-01-07T01:06:15.880Z,null,Running,10,-1,-1,2026-01-07T01:06:15.880Z,2026-01-07T01:06:55.596Z,null,1
BATCH_20260106_020029_445ad3,Daily Ingestion - Synexis,Azure Function,2026-01-06T02:00:29.959Z,null,Running,10,-1,-1,2026-01-06T02:00:29.959Z,2026-01-06T02:01:54.251Z,null,1
BATCH_20260106_020025_f94d32,Daily Ingestion - Synexis,Azure Function,2026-01-06T02:00:25.785Z,2026-01-06T02:02:14.104Z,success,10,10,0,2026-01-06T02:00:25.785Z,2026-01-06T02:02:14.104Z,null,0
BATCH_20260105_020037_b9409c,Daily Ingestion - Synexis,Azure Function,2026-01-05T02:00:37.348Z,2026-01-05T02:02:10.393Z,success,10,10,0,2026-01-05T02:00:37.348Z,2026-01-05T02:02:10.393Z,null,0
BATCH_20260105_020023_65a604,Daily Ingestion - Synexis,Azure Function,2026-01-05T02:00:23.268Z,null,Running,10,-1,-1,2026-01-05T02:00:23.268Z,2026-01-05T02:01:58.738Z,null,1
BATCH_20260104_020035_9c5c0e,Daily Ingestion - Synexis,Azure Function,2026-01-04T02:00:35.650Z,null,Running,10,-1,-1,2026-01-04T02:00:35.650Z,2026-01-04T02:02:10.750Z,null,1
BATCH_20260104_020034_63ce55,Daily Ingestion - Synexis,Azure Function,2026-01-04T02:00:34.776Z,2026-01-04T02:02:25.992Z,success,10,10,0,2026-01-04T02:00:34.776Z,2026-01-04T02:02:25.992Z,null,0
BATCH_20260103_020039_80f692,Daily Ingestion - Synexis,Azure Function,2026-01-03T02:00:39.287Z,2026-01-03T02:02:14.667Z,success,10,10,0,2026-01-03T02:00:39.287Z,2026-01-03T02:02:14.667Z,null,0
BATCH_20260103_020037_6a612b,Daily Ingestion - Synexis,Azure Function,2026-01-03T02:00:37.748Z,null,Running,10,-1,-1,2026-01-03T02:00:37.748Z,2026-01-03T02:02:18.716Z,null,1
BATCH_20260102_091359_975ddb,Daily Ingestion - Synexis,Azure Function,2026-01-02T09:13:59.817Z,null,Running,10,-1,-1,2026-01-02T09:13:59.817Z,2026-01-02T09:14:52.984Z,null,1
BATCH_20260102_074355_ed49e4,Daily Ingestion - Synexis,Azure Function,2026-01-02T07:43:55.551Z,null,Running,10,-1,-1,2026-01-02T07:43:55.551Z,2026-01-02T07:44:56.538Z,null,1
BATCH_20260102_020033_a06374,Daily Ingestion - Synexis,Azure Function,2026-01-02T02:00:33.753Z,2026-01-02T02:02:25.038Z,success,10,10,0,2026-01-02T02:00:33.753Z,2026-01-02T02:02:25.038Z,null,0
BATCH_20260102_020033_5fe0b3,Daily Ingestion - Synexis,Azure Function,2026-01-02T02:00:33.704Z,2026-01-02T02:02:17.362Z,success,10,10,0,2026-01-02T02:00:33.704Z,2026-01-02T02:02:17.362Z,null,0
BATCH_20260101_020039_ea5a73,Daily Ingestion - Synexis,Azure Function,2026-01-01T02:00:39.225Z,2026-01-01T02:01:42.479Z,success,10,10,0,2026-01-01T02:00:39.225Z,2026-01-01T02:01:42.479Z,null,0
BATCH_20251231_023406_ed0126,Daily Ingestion - Synexis,Azure Function,2025-12-31T02:34:06.018Z,2025-12-31T02:34:52.908Z,success,10,10,0,2025-12-31T02:34:06.018Z,2025-12-31T02:34:52.908Z,null,0
BATCH_20251231_020033_748d7c,Daily Ingestion - Synexis,Azure Function,2025-12-31T02:00:33.258Z,2025-12-31T02:01:58.961Z,success,10,10,0,2025-12-31T02:00:33.258Z,2025-12-31T02:01:58.961Z,null,0
BATCH_20251230_081420_d8f0c1,Daily Ingestion - Synexis,Azure Function,2025-12-30T08:14:20.371Z,2025-12-30T08:15:27.222Z,success,10,10,0,2025-12-30T08:14:20.371Z,2025-12-30T08:15:27.222Z,null,0
BATCH_20251230_074218_950483,Daily Ingestion - Synexis,Azure Function,2025-12-30T07:42:18.839Z,2025-12-30T07:43:14.827Z,success,10,10,0,2025-12-30T07:42:18.839Z,2025-12-30T07:43:14.827Z,null,0
BATCH_20251230_071852_f63cc1,Daily Ingestion - Synexis,Azure Function,2025-12-30T07:18:52.473Z,2025-12-30T07:19:55.442Z,success,10,10,0,2025-12-30T07:18:52.473Z,2025-12-30T07:19:55.442Z,null,0
BATCH_20251230_062957_e59aee,Daily Ingestion - Synexis,Azure Function,2025-12-30T06:29:57.122Z,2025-12-30T06:30:54.696Z,success,10,10,0,2025-12-30T06:29:57.122Z,2025-12-30T06:30:54.696Z,null,0
BATCH_20251230_061403_360d62,Daily Ingestion - Synexis,Azure Function,2025-12-30T06:14:03.974Z,2025-12-30T06:14:32.225Z,success,10,10,0,2025-12-30T06:14:03.974Z,2025-12-30T06:14:32.225Z,null,0
BATCH_20251230_060314_fa8b3a,Daily Ingestion - Synexis,Azure Function,2025-12-30T06:03:14.251Z,null,Running,10,-1,-1,2025-12-30T06:03:14.251Z,2025-12-30T06:03:14.251Z,null,-1
