material,id_producing_plant,cod_cliente,tipo_costo,mes,valor,year,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
BA016505,SP00,2108340,RAW MATERIALS,10,2.795581819407452,2026,BA016505~SP00~2108340~RAW MATERIALS~2026~10,04753dd223ac49dbaab9d1092922ace0ba441edd4458e7a22f334f117613afa2,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA780634,100010426,66310,ESCENARIOS,10,0,2026,AA780634~100010426~66310~ESCENARIOS~2026~10,f74d16217beaae0d779725bb730563f957115b87659df6d9bb18092537483fad,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020187,SP00,2108340,FREIGHT,12,1.3356009070294783,2026,BA020187~SP00~2108340~FREIGHT~2026~12,0117e0c7f1e06bbfcc5b30a753d9f9a5a6882a96730e1cea70d8602dd70388cf,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004887,SP00,66274,PRODUCTION FEE,4,1.13,2026,BA004887~SP00~66274~PRODUCTION FEE~2026~4,98767954ea9f4f61283e04286a1979f82c8c70a0a78d84e6d6e2cd1b762296db,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004904,SP00,66274,ESCENARIOS,8,0,2026,BA004904~SP00~66274~ESCENARIOS~2026~8,07c5065125889e75f017071158698f739cc284fcd7ad483bb846f5d4b90c0034,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA780634,100010426,66317,PRODUCTION FEE,2,0,2026,AA780634~100010426~66317~PRODUCTION FEE~2026~2,24aeb82777021091d479424911ba1cc8e4db702684f9ba4c6eba4e1017dbd270,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA648133,SP00,66377,FREIGHT,3,1.0480193019574573,2026,AA648133~SP00~66377~FREIGHT~2026~3,97c85dc48d1650531428ea89ba8003814304da5b8167c20dfa2967f10dd2529a,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA279145,SP00,66317,ESCENARIOS,11,0,2026,AA279145~SP00~66317~ESCENARIOS~2026~11,2093bcabcbb8feb1d6060fc6ae5383b1aa12e15142f691f65b9091c147040fde,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA019169,SP00,66274,FREIGHT,10,0.6513167928687548,2026,BA019169~SP00~66274~FREIGHT~2026~10,c4e1426556e40fad5dc26e15b6e9894bf5234114f9263d353055c4f7386c85ab,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA002469,SP00,2067820,RAW MATERIALS,10,4.099939141911258,2026,BA002469~SP00~2067820~RAW MATERIALS~2026~10,2d94c6e7269a60d317850137a4a56cf7e7654b87d9021bdd4c8a8db90c79620f,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA016502,SP00,66274,RAW MATERIALS,4,3.020264428594527,2026,BA016502~SP00~66274~RAW MATERIALS~2026~4,cb13d6cf771f94dafec3ebb2c944fecedf023e6e97fcff3f89df0ad1e4f5b6b3,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011319,SP00,66274,ESCENARIOS,4,0,2026,BA011319~SP00~66274~ESCENARIOS~2026~4,461b2707ce69b9acdcb0354eb395c425273951323c8ce657d8384ba89a7ff661,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA007453,SP00,66317,FREIGHT,11,1.7987301587301587,2026,BA007453~SP00~66317~FREIGHT~2026~11,b5052b5551fe059a8320ae71ee2218662c0b699b698b22d56f0d75a81e05f0a7,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA251209,SP00,2067820,STRATEGIC MATERIALS,11,0.30254341687690167,2026,AA251209~SP00~2067820~STRATEGIC MATERIALS~2026~11,b88a2e24c4ef46822fa72056a637ee9aed5ae3f5f92bda0ef28f14ac42137177,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA017304,SP00,66274,PRODUCTION FEE,7,1.37,2026,BA017304~SP00~66274~PRODUCTION FEE~2026~7,c8d8beaca00c12041c8fbb673f96e11d248b0c52f0ea3032b6139bf46d676723,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011319,SP00,2108340,RAW MATERIALS,2,2.8827207618193396,2026,BA011319~SP00~2108340~RAW MATERIALS~2026~2,944f8025b0a8a4128d651358c8317c630e14d5cc6b05bbd4ffc8d2629ea55cba,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA348079,SP00,66366,FREIGHT,12,0.6295454545454545,2026,AA348079~SP00~66366~FREIGHT~2026~12,e0c2a89d0c6bcf32a4cc959e4783a686ffad76fb7a65192d15ed23322bef63d0,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011263,GP00,2108340,ESCENARIOS,9,0,2026,BA011263~GP00~2108340~ESCENARIOS~2026~9,0de39ab76697572d893d50fae09fc658a14b7bb8e162debf3cd4d63d70a74ec3,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA019124,SP00,66274,PRODUCTION FEE,9,1.13,2026,BA019124~SP00~66274~PRODUCTION FEE~2026~9,5c86dd9356872645f46e56a48c51970f72c1529aa2703b82acffb24a68f3e94c,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA017304,SP00,66274,FREIGHT,7,1.5174603174603174,2026,BA017304~SP00~66274~FREIGHT~2026~7,09a4a471aa4e83c877e0b13644b071052918603fee1afde7e784c1d26b410def,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020237,SP00,66367,ESCENARIOS,11,0,2026,BA020237~SP00~66367~ESCENARIOS~2026~11,7e199a80bed6db57883a9629f604c67ebfbb3302485febc45bb918723ce2dd37,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA019114,SP00,2060892,PRODUCTION FEE,3,1.13,2026,BA019114~SP00~2060892~PRODUCTION FEE~2026~3,8ce8edd2ad0074bb43112f1bd4d6eb02a1bb2f8aeaf279a22d7d5fa3a9392240,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004887,SP00,66274,PRODUCTION FEE,2,1.13,2026,BA004887~SP00~66274~PRODUCTION FEE~2026~2,3b371b3f2896170814300adae9437721eeb08f7e1deef032ceee35b17ddca728,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA005742,SP00,2108340,ESCENARIOS,11,0,2026,BA005742~SP00~2108340~ESCENARIOS~2026~11,824726b686818f9c761bdb2539def64da5d83cde05c4c6bc49ee4620bfb0eadf,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
