workflow_id,workflow_name,task_name,env,version,params_json,checksum,is_current,valid_from,valid_to
537337888260854,wf_gold_customer_master,upload_gold_customer_master,dev,1,"{""file_name"":""Customer.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""id,sitevalue_name,name,cluster,region_comercial,region,country,financial_type"",""filter_condition"":"""",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
904560834006368,wf_gold_part_customer,upload_gold_part_customer,dev,1,"{""file_name"":""PartCustomer.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""customer_id,part_site_value,customer_site_value,part_name,forecast_item_path"",""filter_condition"":""1=1"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
686382146878830,wf_gold_stockout,upload_gold_stockout,dev,1,"{""file_name"":""StockOut.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""filter_condition"":""1=1"",""column_list"":""customer_id,part_name,site_value,status,onorder,monthlyclosing,stockout,date"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
690159663656437,wf_gold_part_source,upload_gold_part_source,dev,1,"{""file_name"":""Source.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""filter_condition"":""1=1"",""column_list"":""source_id,destination_site_value,supplier_id,source_supplier_site_value"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
69188372220224,wf_gold_onhand,upload_gold_onhand,dev,1,"{""file_name"":""OnHand.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""part_name,part_site_value,type_value,location,date,warehouse_id,quantity"",""filter_condition"":"""",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
292396691365634,wf_gold_currency_conversion_forecast,upload_gold_currency_conversion_forecast,dev,1,"{""file_name"":""CurrencyConversionForecast.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""currency,date,rate"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
990966218300128,wf_gold_site_master,upload_gold_site_master,dev,1,"{""file_name"":""Site.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""value,description, region_id,currency_value,currency_description,site_type"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
880200725522953,wf_gold_currency_conversion_actual,upload_gold_currency_conversion_actual,dev,1,"{""file_name"":""CurrencyConversionActual.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""currency,date,rate"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
1050005173895920,wf_gold_part_supplier_mapping,upload_gold_part_supplier_mapping,dev,1,"{""file_name"":""PartSupplier.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""partname,partsite,suppliersite,supplier_id"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
681708534589022,wf_gold_part_uom_conversion,upload_gold_part_uom_conversion,dev,1,"{""file_name"":""PartUOMConversion.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""partname,partsite,unitofmeasure,factor"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
1103805883851322,wf_gold_customerprice,upload_gold_customerprice,dev,1,"{""file_name"":""CustomerPrice.tab"",""file_path"":""to_maestro/"",""base_dir_prefix"":""BLVD02_DEV01/Extract/Beliv"",""transformations"":"""",""column_list"":""customer_id,id,name,site,effective_date,unit_price"",""workflow_config"":""beliv_dev.synexis.workflow_config"",""workflow_execution_log"":""beliv_dev.synexis.workflow_execution_log"",""file_header"":""true""}",null,true,null,null
