batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260209_030034_94fcd4,Daily Databricks Batch - Synexis,2026-02-09T03:00:34.781Z,2026-02-09T03:16:35.309Z,Failed,20,10,0,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-09T03:16:14.712Z,null
BATCH_20260206_081608_5e05a5,Monthly Databricks Batch - Synexis,2026-02-06T08:16:08.828Z,2026-02-06T08:43:46.961Z,Success,15,15,0,0,null,2026-02-06T08:43:12.578Z,null
BATCH_20260206_042750_355d86,Monthly Databricks Batch - Synexis,2026-02-06T04:27:50.303Z,2026-02-06T04:48:24.027Z,Success,15,15,0,0,null,2026-02-06T04:47:52.438Z,null
BATCH_20260206_040038_a5be65,Monthly Databricks Batch - Synexis,2026-02-06T04:00:38.995Z,2026-02-06T04:10:10.893Z,Failed,15,9,0,0,Layer 'GOLD_TXN1' failed: Layer GOLD_TXN1 (index 2) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-06T04:09:54.890Z,null
BATCH_20260206_030042_b9c4e7,Daily Databricks Batch - Synexis,2026-02-06T03:00:43.088Z,2026-02-06T03:24:59.722Z,Success,20,20,0,0,null,2026-02-06T03:24:45.274Z,null
BATCH_20260205_110427_cfb02a,Monthly Databricks Batch - Synexis,2026-02-05T11:04:27.590Z,2026-02-05T11:24:03.626Z,Success,15,15,0,0,null,2026-02-05T11:23:33.022Z,null
BATCH_20260205_103134_ccca90,Daily Databricks Batch - Synexis,2026-02-05T10:31:35.070Z,2026-02-05T10:57:16.489Z,Success,20,20,0,0,null,2026-02-05T10:57:01.880Z,null
BATCH_20260205_040032_30cc95,Monthly Databricks Batch - Synexis,2026-02-05T04:00:32.657Z,2026-02-05T04:20:15.774Z,Success,15,15,0,0,null,2026-02-05T04:19:55.392Z,null
BATCH_20260205_030041_64338f,Daily Databricks Batch - Synexis,2026-02-05T03:00:42.059Z,2026-02-05T03:29:04.031Z,Success,20,20,0,0,null,2026-02-05T03:28:48.435Z,null
BATCH_20260204_040027_3abbaa,Monthly Databricks Batch - Synexis,2026-02-04T04:00:27.164Z,2026-02-04T04:20:29.582Z,Success,15,15,0,0,null,2026-02-04T04:20:05.653Z,null
BATCH_20260204_030038_7fbeaa,Daily Databricks Batch - Synexis,2026-02-04T03:00:38.817Z,2026-02-04T03:29:30.547Z,Success,20,20,0,0,null,2026-02-04T03:29:15.014Z,null
BATCH_20260203_064911_f8986f,Monthly Databricks Batch - Synexis,2026-02-03T06:49:11.271Z,2026-02-03T06:55:46.438Z,Failed,15,5,0,0,Layer 'GOLD_MASTER' failed: Layer GOLD_MASTER (index 1) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-03T06:55:37.103Z,null
BATCH_20260203_062934_7b28a8,Daily Databricks Batch - Synexis,2026-02-03T06:29:34.214Z,2026-02-03T06:47:05.344Z,Success,20,20,0,0,null,2026-02-03T06:46:49.770Z,null
BATCH_20260203_060619_3b694b,Daily Databricks Batch - Synexis,2026-02-03T06:06:20.094Z,2026-02-03T06:20:50.657Z,Failed,20,19,0,0,Layer 'GOLD_TXN' failed: Layer GOLD_TXN (index 3) failed with 1 failed workflows out of 5 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-03T06:20:33.685Z,null
BATCH_20260203_040045_65b977,Monthly Databricks Batch - Synexis,2026-02-03T04:00:45.412Z,2026-02-03T04:08:14.106Z,Failed,15,0,0,0,Layer 'SILVER' failed: Layer SILVER (index 0) failed with 2 failed workflows out of 2 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-03T04:08:07.529Z,null
BATCH_20260203_030032_367d73,Daily Databricks Batch - Synexis,2026-02-03T03:00:32.638Z,2026-02-03T03:08:45.708Z,Failed,20,0,0,0,Layer 'BRONZE' failed: Layer BRONZE (index 0) failed with 3 failed workflows out of 3 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-03T03:08:39.290Z,null
BATCH_20260202_062927_2fa113,Daily Databricks Batch - Synexis,2026-02-02T06:29:28.106Z,2026-02-02T06:45:56.238Z,Success,20,20,0,0,null,2026-02-02T06:45:41.351Z,null
BATCH_20260202_051913_846599,Daily Databricks Batch - Synexis,2026-02-02T05:19:14.214Z,2026-02-02T05:34:00.522Z,Failed,20,10,0,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-02T05:33:42.811Z,null
BATCH_20260202_040035_6c024e,Monthly Databricks Batch - Synexis,2026-02-02T04:00:35.620Z,2026-02-02T04:20:31.448Z,Success,15,15,0,0,null,2026-02-02T04:20:11.257Z,null
