source_id,destination_site_value,supplier_id,source_supplier_site_value
BA005340_2064553,Livsmart_SP00,SP00,Livsmart_SP00
BA019069_66377,Livsmart_SP00,SP00,Livsmart_SP00
BA017303_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA011151_66366,Livsmart_SP00,SP00,Livsmart_SP00
BA004906_66624,Livsmart_SP00,SP00,Livsmart_SP00
BA020518_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA004906_67075,Livsmart_SP00,SP00,Livsmart_SP00
AA261070_66366,Livsmart_SP00,SP00,Livsmart_SP00
AA251190_2067820,Livsmart_SP00,SP00,Livsmart_SP00
BA019969_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA011726_2108340,Mariposa_GP00,GP00,Mariposa_GP00
BA007816_67075,Livsmart_SP00,SP00,Livsmart_SP00
BA006756_2108340,Livsmart_SP00,SP00,Livsmart_SP00
BA010929_67075,Livsmart_SP00,SP00,Livsmart_SP00
BA011251_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA010942_66624,Livsmart_SP00,SP00,Livsmart_SP00
BA007451_68371,Livsmart_SP00,SP00,Livsmart_SP00
