material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA583077,SP00,66328,FREIGHT,5,2026,0,AA583077~SP00~66328~FREIGHT~2026~5,0d53bf69478b88fc312218da9c2c48deb23ce39112b051183e5e9c7b3341cbf4,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA024189,400000190,66336,ESCENARIOS,4,2026,0,BA024189~400000190~66336~ESCENARIOS~2026~4,0730d807a635366a3633bf8eea209b3f2bf3e4eae1990d056215faf42769952b,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA778389,J001,66402,RAW MATERIALS,1,2026,2.3248312078019504,AA778389~J001~66402~RAW MATERIALS~2026~1,2fb3ff2a935e274b232f96699bd5c06d7096b7aede0f53de30dcb18ff719be01,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA007458,SP00,68537,FREIGHT,5,2026,3.3173333333333335,BA007458~SP00~68537~FREIGHT~2026~5,049d782f0e27d539a7e8dee5ca7c431529407e53f4baa60e6f3bb78782c175db,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA760392,J001,66318,RAW MATERIALS,11,2026,6.456688733423498,AA760392~J001~66318~RAW MATERIALS~2026~11,975ea12ae96848ce1dd54e6d4400c5eb6b22ab69f4ebe713a33ac6d53a76261a,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA583077,SP00,66377,PRODUCTION FEE,3,2026,1.43,AA583077~SP00~66377~PRODUCTION FEE~2026~3,5dfbedc3e72132053ecd5cceb3988d9c50bc568f59fb246f2285eeb2393b5ab2,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA778389,J001,66402,STRATEGIC MATERIALS,2,2026,0,AA778389~J001~66402~STRATEGIC MATERIALS~2026~2,0d65a07c120e565315cc7ca71b9737a4898fdab896be560ec53da9e76aa0cb27,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA760601,J001,66318,ESCENARIOS,12,2026,0,AA760601~J001~66318~ESCENARIOS~2026~12,0a7c710f04732a70bf2e25ceb528120affaf7b452b0c0fb2019b5076a2a43fdf,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA006326,NP00,2060890,STRATEGIC MATERIALS,4,2026,0,BA006326~NP00~2060890~STRATEGIC MATERIALS~2026~4,56b8edd74f28c5ca00ea6a06d8007a38483056091e7535552925def1c675dbd9,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA011264,GP00,66274,STRATEGIC MATERIALS,3,2026,0,BA011264~GP00~66274~STRATEGIC MATERIALS~2026~3,9a65383f52dc4604fcddcb76b4e5081da365c5337265696c9b545c29e4fdaf26,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA022758,100008711,68195,STRATEGIC MATERIALS,1,2026,0,BA022758~100008711~68195~STRATEGIC MATERIALS~2026~1,029de149027aef04e6feb43aad77dc31d470410787fbc3c0d5fe8f6c3a3b4f3a,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019934,400000105,30001,RAW MATERIALS,2,2026,0,BA019934~400000105~30001~RAW MATERIALS~2026~2,2277c988edd1928c693610c716d1116a13342c95c6c4be64b754009068d9ea60,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005454,SP00,66303,FREIGHT,12,2026,3.0673333333333335,BA005454~SP00~66303~FREIGHT~2026~12,c434a3dd77a05d7b02d6a9a8f093253d81cc8c339485ab1dae7bb7a4364c43eb,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA004155,SP00,66332,RAW MATERIALS,4,2026,0,AA004155~SP00~66332~RAW MATERIALS~2026~4,c9a0e263f8c8ec59f0c97c403c01d25ab9a15e4bd27f3b12784e9968e5a91ad2,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA583077,SP00,66377,RAW MATERIALS,2,2026,4.824229415923432,AA583077~SP00~66377~RAW MATERIALS~2026~2,8f28d4ece28f02e16db4930ded09b6bcae8f4dfd72171351b6fb05ea2e20f7e7,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA021018,SP00,2060885,STRATEGIC MATERIALS,4,2026,0,BA021018~SP00~2060885~STRATEGIC MATERIALS~2026~4,22f9afa478c2c1da961cacbe26b09e759869949ac0b255fe1ec5add06575a71f,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
