header_category,header_customer,header_part_name,header_site,date,header_customer_name,quantity,unit_price,currency,SellIN_Flag,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
Shipments,2108340,BA005736,IMPADOEL_2108340,20260216,IMPADOEL,10773.09,4.95,USD,Y,553910311a255e0b787d0ab46a97a5f3b1ca82c0a0d228a27975595af61b8089,553910311a255e0b787d0ab46a97a5f3b1ca82c0a0d228a27975595af61b8089,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA016866,IMPADOEL_2108340,20260128,IMPADOEL,8959.99,0.00,USD,Y,22016ffec736313148c6caf539dbdeff44d29cab3cc396c942767efe5dbdd9b1,22016ffec736313148c6caf539dbdeff44d29cab3cc396c942767efe5dbdd9b1,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA778389,C.E.L._DISTRIBUTORS_66402,20260130,C.E.L._DISTRIBUTORS,4693.22,306.66,USD,Y,f504b68d8281b5c872d682320753914c233f8e9450b003893752700aa063d1cd,f504b68d8281b5c872d682320753914c233f8e9450b003893752700aa063d1cd,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66320,AA577392,TICO_66320,20260130,TICO,480.00,10.05,USD,Y,5f78756a9c95718e47bc9f1c926e9e584725d3bca0dbe310b2065b9ce52a54df,5f78756a9c95718e47bc9f1c926e9e584725d3bca0dbe310b2065b9ce52a54df,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA819392,C.E.L._DISTRIBUTORS_66402,20260130,C.E.L._DISTRIBUTORS,213.33,18.00,USD,Y,6200cff0a6e83d27556350feaf76f0b1fce7b57dec990a5346eb9f5d212a41b2,6200cff0a6e83d27556350feaf76f0b1fce7b57dec990a5346eb9f5d212a41b2,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AAF1010075,REFRESCO_66385,20260202,REFRESCO,6701.59,0.00,USD,Y,e967e43559a75140da053ffe74e6055304b2c61026ca084ff6fe3a8dbccf3363,e967e43559a75140da053ffe74e6055304b2c61026ca084ff6fe3a8dbccf3363,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA819392,C.E.L._DISTRIBUTORS_66402,20260123,C.E.L._DISTRIBUTORS,26.67,18.00,USD,Y,a1c45d14e6d7fdeb48f9c0d61f5d538b0cb707a270da97c4ab9358120ed502c4,a1c45d14e6d7fdeb48f9c0d61f5d538b0cb707a270da97c4ab9358120ed502c4,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66317,AA648077,IBERIA_FOODS_NY_66317,20260128,IBERIA_FOODS_NY,1512.01,8.12,USD,Y,49200caeda68f816bd62fcee4f59ea93522cf4bb3549e4edad29c5220aa598a8,49200caeda68f816bd62fcee4f59ea93522cf4bb3549e4edad29c5220aa598a8,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA006907,REFRESCO_66385,20260219,REFRESCO,6701.59,0.00,USD,Y,829ffa808f60e109db252ee1e325d5d2351d92728b978b5a7b895dbc865df9ab,829ffa808f60e109db252ee1e325d5d2351d92728b978b5a7b895dbc865df9ab,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,68111,BA022756,TROPICAL FRESH_68111,20260129,TROPICAL FRESH,2700.02,12.07,USD,Y,82ebd57f9e96917166958e7c0b0b7ac66de4604e14c53638595daa8d1f8f10b9,82ebd57f9e96917166958e7c0b0b7ac66de4604e14c53638595daa8d1f8f10b9,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA020758,IMPADOEL_2108340,20260128,IMPADOEL,880.01,0.00,USD,Y,18a1598f3aeaa36bc63df944fba768d0c3f7cee22d143de683c95f0b6d248aee,18a1598f3aeaa36bc63df944fba768d0c3f7cee22d143de683c95f0b6d248aee,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66317,BA007452,IBERIA_FOODS_NY_66317,20260128,IBERIA_FOODS_NY,150.00,11.05,USD,Y,d7ff21ce0878d0a2d433e3a983ebe45ad1763cf194766c36f52783ff44c3d48e,d7ff21ce0878d0a2d433e3a983ebe45ad1763cf194766c36f52783ff44c3d48e,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022756,REFRESCO_66385,20260122,REFRESCO,6701.59,0.00,USD,Y,fe3fde636e8b8ea2934b8ba600caa1082003c6ef68eccdbd97d1e5250210d29a,fe3fde636e8b8ea2934b8ba600caa1082003c6ef68eccdbd97d1e5250210d29a,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA006258,IMPADOEL_2108340,20260123,IMPADOEL,1102.50,0.00,USD,Y,0985e73319751181c8ffd308bb07b6583512ec27530df8bb3bcc47fd77cda20c,0985e73319751181c8ffd308bb07b6583512ec27530df8bb3bcc47fd77cda20c,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA018679,REFRESCO_66385,20260223,REFRESCO,138.98,0.00,USD,Y,ce1ae6d0133c6d16c2ab0581595bc7a9e3c538deca9753756fa30ed774da14d2,ce1ae6d0133c6d16c2ab0581595bc7a9e3c538deca9753756fa30ed774da14d2,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,68505,AA577601,HEALTHWELL BRANDS_68505,20260130,HEALTHWELL BRANDS,480.00,8.32,USD,Y,5ac50c6f1238d9c64d68933a48c2ec40d1fdeae002084cc8a8f4c8ed2151234a,5ac50c6f1238d9c64d68933a48c2ec40d1fdeae002084cc8a8f4c8ed2151234a,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66318,AA760389,SUNBURST_TRADING_66318,20260114,SUNBURST_TRADING,100.00,22.50,USD,Y,df85dbf350c04e35ea3438509356f3c02bcd0d84620bfa44afca166012fa6b91,df85dbf350c04e35ea3438509356f3c02bcd0d84620bfa44afca166012fa6b91,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AA760601,REFRESCO_66385,20260202,REFRESCO,206.41,0.00,USD,Y,a8f3414808b68ef52f2ab43f37bf1020ad3cfa26b63c2f2439999ca7dfd696ae,a8f3414808b68ef52f2ab43f37bf1020ad3cfa26b63c2f2439999ca7dfd696ae,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AA781391,REFRESCO_66385,20260220,REFRESCO,123.00,0.00,USD,Y,5eed1f3fd2fe882f1a1235cfa81058ce11f070f8752d951c7709fac84f431f5f,5eed1f3fd2fe882f1a1235cfa81058ce11f070f8752d951c7709fac84f431f5f,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66317,BA000321,IBERIA_FOODS_NY_66317,20260122,IBERIA_FOODS_NY,2930.00,7.30,USD,Y,f1dcd654522d6a60211fdabb2ecb91f17527980fdbddda6263c07749aa93cdf1,f1dcd654522d6a60211fdabb2ecb91f17527980fdbddda6263c07749aa93cdf1,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66570,AA583392,HANSCHELL_66570,20260127,HANSCHELL,600.00,9.20,USD,Y,504fb61daa322f47d6af1b55f8c72048c3d11fbb9293b65ba6bfeb972900b20b,504fb61daa322f47d6af1b55f8c72048c3d11fbb9293b65ba6bfeb972900b20b,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AA781391,REFRESCO_66385,20260223,REFRESCO,138.98,0.00,USD,Y,b302395438cd61cf9b7bdf0e9eb1737aeeb143e2556d90a4e2ccbb528ba1590e,b302395438cd61cf9b7bdf0e9eb1737aeeb143e2556d90a4e2ccbb528ba1590e,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
