customer_id,part_name,site_value,status,onorder,monthlyclosing,stockout,date,record_key_hash,integration_id,batch_id,execution_id,create_timestamp,last_updated_timestamp
2060885,BA010901,MARES_2060885,Regular,0.00,0.00,0.00,20251031,404fb45c948272c1eeda39251c88ecb704e57a75d7a729bdabb1acdc29a85e5d,404fb45c948272c1eeda39251c88ecb704e57a75d7a729bdabb1acdc29a85e5d,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA005471,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,1406.01,20250630,6256958cc1e86f8338072127fa35ed90830cd660419bdf0359cb9347acb7517c,6256958cc1e86f8338072127fa35ed90830cd660419bdf0359cb9347acb7517c,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA065079,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,151.50,20250630,69137c47579d20fa48120593a9e23cec058ecbdd13b6398ed5f4ee2f731a81b1,69137c47579d20fa48120593a9e23cec058ecbdd13b6398ed5f4ee2f731a81b1,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA003526,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,124.02,20251130,f0e227d660dadc4e27cad96838ea5a1f8c14892a1b75c778d37a3aa98dec2fcb,f0e227d660dadc4e27cad96838ea5a1f8c14892a1b75c778d37a3aa98dec2fcb,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA065079,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,375.01,20251231,af44e8a2df35f3031c5036ec786e82d7a2fb88d86aa6eabe24e655ea316bf4ce,af44e8a2df35f3031c5036ec786e82d7a2fb88d86aa6eabe24e655ea316bf4ce,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66336,BA023401,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,11.22,20250331,d267e1f860273394c74009a8bdb6797d524e0f26cad7492ba2b6a8d0f18724e2,d267e1f860273394c74009a8bdb6797d524e0f26cad7492ba2b6a8d0f18724e2,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
2060885,BA006841,MARES_2060885,Regular,0.00,0.00,887.35,20251231,ec1ef9aa59602255539b737e8ded158ca3e5fad5d077ef42c945958c2fcc44b3,ec1ef9aa59602255539b737e8ded158ca3e5fad5d077ef42c945958c2fcc44b3,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
30001,BA001813,THE_TESALIA_30001,Regular,0.00,0.00,257.54,20251231,f644b5753a0de5c4529ddd1241471d4a1196d15f08dc8462bf5c326d380bb733,f644b5753a0de5c4529ddd1241471d4a1196d15f08dc8462bf5c326d380bb733,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66336,BA023400,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,0.00,20260131,c6b4de3673c9195931892cd6405fbc776bf29bf52bc4436a70de125a439c2ed4,c6b4de3673c9195931892cd6405fbc776bf29bf52bc4436a70de125a439c2ed4,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA001005,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,15.00,20250927,f7ef44b5fec62ac811528bf0280843007272369ccd2198054ee66f1006b1dd65,f7ef44b5fec62ac811528bf0280843007272369ccd2198054ee66f1006b1dd65,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
